                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5292,                  2.222,                 1.5186,                0.59504,                0.48515,                0.56693,                0.31546,                 1.4912,                 1.8284,                 1.8893,             0.00047425,             0.00047425,             0.00047425
                      2,                 1.4553,                 1.4852,                  1.425,                0.59053,                0.52821,                0.58658,                0.31631,                 1.5598,                 1.1969,                 1.9438,             0.00094118,             0.00094118,             0.00094118
                      3,                 1.4477,                 1.3076,                 1.4207,                0.58835,                 0.5047,                0.55843,                0.29673,                 1.5583,                  1.193,                 1.9285,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.4434,                 1.1724,                 1.3932,                0.57458,                0.49642,                0.56221,                0.29537,                 1.6346,                 1.1703,                 1.9599,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4077,                 1.0889,                  1.389,                0.61002,                0.53713,                0.59722,                0.32012,                 1.5692,                0.91594,                 1.8943,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3745,                 1.0105,                 1.3662,                0.54952,                0.59592,                0.56258,                0.29738,                   1.59,                 1.0911,                 1.9143,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3639,                0.98292,                  1.354,                0.62572,                0.54011,                0.61197,                0.34423,                 1.4854,                0.84265,                 1.8156,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3327,                0.93274,                 1.3237,                0.61693,                0.66606,                 0.6275,                0.34786,                 1.5198,                0.75793,                 1.8584,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.3367,                0.89732,                 1.3384,                0.61312,                0.58946,                0.60842,                0.32682,                 1.5984,                 0.8784,                  1.894,                0.00133,                0.00133,                0.00133
                     10,                 1.3204,                 0.8937,                 1.3296,                0.62665,                0.66236,                 0.6228,                0.35906,                 1.4431,                 0.7499,                 1.7748,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.2921,                0.84831,                 1.3054,                0.61403,                0.73858,                0.64249,                0.37587,                 1.4374,                 0.6905,                 1.8036,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2917,                0.84782,                 1.2976,                  0.638,                0.70442,                0.63049,                0.37829,                 1.4086,                  0.715,                 1.7297,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2807,                0.81953,                 1.2914,                0.65265,                0.65976,                0.64421,                0.36584,                 1.4986,                0.69069,                 1.8572,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.2683,                0.80198,                  1.285,                0.65144,                0.61879,                0.64111,                 0.3809,                 1.4296,                0.66522,                 1.7692,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2678,                 0.7978,                 1.2896,                0.65117,                 0.6986,                0.64044,                0.37871,                 1.4029,                0.70762,                 1.7334,              0.0012451,              0.0012451,              0.0012451
